Arabic,ENGLISH,AMHARIC,JAPANESE
لو  ,if,ከሆነ,もしも
ربما  ,Probably,ምናልባት,多分
أين  ,where,የት,どこ
هيا  ,Come on,በል እንጂ,来て
أعرف  ,I know,አውቃለሁ,知っている
الى  ,to me,ለኔ,私に
إن  ,that,ያ,それ
يكون  ,is being,መሆን አለበት,であることです
بعض  ,some,አንዳንድ,いくつかの
أريد  ,I want,እፈልጋለሁ,私が欲しい
أعتقد  ,Think,አስብ,考え
انت  ,you,እንተ,君
عليك  ,upon you,በአንተ ላይ,あなたに
مثل  ,Like,እንደ,好き
صحيح  ,correct,ትክክል,正しい
به  ,with it,ጋር,それと
أنك  ,You are,አንተ ነህ,あなたは
الوقت  ,the time,ጊዜው,時間の時間
بخير  ,Fine,ደህና,罰金
أعلم  ,Know,እወቅ,知る
أحد  ,One,አንድ,一
جداً  ,very,በጣም,とても
رجل  ,a leg,እግር,足
شكراً  ,Thanks,አመሰግናለሁ,ありがとう
لذا  ,So,ስለዚህ,そう
يمكن  ,maybe,ምን አልባት,多分
كما  ,as,እንደ,なので
كلا  ,Both,ሁለቱም,両方
أكثر  ,more,ተጨማሪ,もっと
يبدو  ,sound,ድምፅ,音
جيد  ,Good,ጥሩ,良い
تكون  ,Be,ሁን,なれ
علي  ,on me,በእኔ ላይ,私に
اليوم  ,today,ዛሬ,今日
يمكنك  ,You could,ትችላለህ,あなたは出来る
انها  ,It,እሱ,これ
أليس  ,Is not,አይደለም,ではありません
مرحباً  ,welcome,እንኳን ደህና መጣህ,ようこそ
لدي  ,I have,አለኝ,私は持っている
عليه  ,on him,በእርሱ ላይ,彼に
آخر  ,else,ሌላ,それ以外
لست  ,I'm not,እኔ አይደለሁም,私はそうではありません
منذ  ,Ago,በፊት,前に
غير   ,Non,ያልሆነ,non
أيها  ,Dear,ውድ,親愛な
لديك  ,You have,አለህ,あなたが持っている
حقاً  ,Oh really,ኦህ የምር,まあ、本当に
أنتِ  ,you,እንተ,君
تريد  ,You want,ትፈልጋለህ,あなたが望む
أستطيع  ,I can,እችላለሁ,私はできる
الرجل  ,the man,ሰውየው,その男
تعرف  ,to get to know,ለማወቅ,知るために
له  ,for him,ለእርሱ,彼のために
مرة  ,Once,አንድ ጊዜ,一度
لدينا  ,we've got,አለን,私たちは持っている
أنها  ,It,እሱ,これ
يمكنني  ,I can,እችላለሁ,私はできる
بأن  ,That,ያ,それか
واحد  ,One,አንድ,一
أنني  ,I am,ነኝ,わたし
أوه  ,Oh,ኦህ,ああ
سيكون  ,Will be,ይሆናል,になるでしょう
الناس  ,the people,ሰዎቹ,人たち
ليست  ,Not,አይደለም,いいえ
حدث  ,Event,ክስተት,イベント
بها  ,In,በ ውስጥ,の
أيضاً  ,Also,ደግሞም,また
أفضل  ,better,የተሻለ,より良い
الكثير  ,a lot,ብዙ,たくさん
علينا  ,We,እኛ,我々
سيدي  ,my Lord,ጌታዬ,閣下
مكان  ,Place,ቦታ,場所
تفعل  ,are doing,እየሰሩ ነው,やっている
وقت  ,time,ጊዜ,時間
يكن  ,Not,አይደለም,いいえ
ط  ,I,እኔ,私
شئ  ,a thing,አንድ ነገር,事
بهذا  ,by this,በዚህ,これで
وأنا  ,I am,ነኝ,わたし
اذا  ,if,ከሆነ,もしも
جدا  ,very,በጣም,とても
بي  ,with me,ከእኔ ጋር,私と一緒に
أخرى  ,Other,ሌላ,他の
آسف  ,Sorry,ይቅርታ,ごめん
بك  ,You,እንተ,君
رائع  ,Fabulous,አስደናቂ,卑しい
بذلك  ,So,ስለዚህ,そう
كم  ,How many,ስንት,幾つか
إذاً  ,if,ከሆነ,もしも
ثم  ,then,ከዚያ,それから
شيئاً  ,Nothing,መነም,何もない
يوجد  ,There is,አለ,有る
واحدة  ,one,አንድ,1
ولا  ,no,አይ,いいえ
قلت  ,I said,ተናገርኩ,私は言った
يحدث  ,It is happening,እየተከሰተ ነው,それは起こっています
بالطبع  ,naturally,በተፈጥሮ,当然
شكرا  ,Thanks,አመሰግናለሁ,ありがとう
مرحبا  ,welcome,እንኳን ደህና መጣህ,ようこそ
يوم  ,day,ቀን,日
أبي  ,My Father,አባቴ,お父さん
معك  ,With you,ከአንተ ጋር,あなたと
لها  ,she has,አላት,彼女が持っている
معي  ,With me,ከእኔ ጋር,私と一緒に
سيد  ,Mr,ለ አቶ,氏
تعلم  ,to learn,ለመማር,学ぶために
إذن  ,So,ስለዚህ,そう
العمل  ,the work,ስራው,作品
تم  ,It was completed,ተጠናቀቀ,完了しました
المكان  ,Place,ቦታ,場所
الليلة  ,Tonight,ዛሬ ማታ,今晩
إلهي  ,divine,መለኮታዊ,divine
لهذا  ,For this,ለዚህ,このため
فعل  ,Act,እርምጃ,活動
هكذا  ,So,ስለዚህ,そう
أمي  ,Mom,እናቴ,ママ
لذلك  ,So,ስለዚህ,そう
ألا  ,Except,በስተቀር,それ外
الان  ,right Now,ልክ አሁን,たった今
حول  ,Around,ዙሪያ,その周り
بما  ,Including,ጨምሮ,含む
حقا  ,Oh really,ኦህ የምር,まあ、本当に
الحقيقة  ,Truth,እውነት,真実
الجميع  ,everyone,ሁሉም ሰው,みんな
يمكننا  ,We can,እንችላለን,私たちはできる
بالتأكيد  ,surely,በእርግጠኝነት,もちろん
لأن  ,because,ምክንያቱም,なぜなら
لديه  ,he have,እሱ አለው,彼が持っている
لنا  ,for us,ለእኛ,わたしたちのため
خلال  ,during,ወቅት,その間
ظ  ,D,መ,d
بشكل  ,On,በርቷል,の上
العالم  ,the scientist,ተመራማሪው ሳይንቲስቱ,科学者
فحسب  ,Not only,ብቻ ሳይሆን,そうでなく
حال  ,Case,ጉዳይ,場合
الذهاب  ,going,መሄድ,going
عليها  ,on her,በእሷ ላይ,彼女に
بـ  ,B,ለ,b
أعني  ,I mean,ማለቴ,つまり
فعلت  ,I did,ሰርሁ,やった
قال  ,He said,አለ,彼は言った
هم  ,they,እነሱ,彼ら
المنزل  ,the home,ቤቱ,ホーム
عنه  ,about him,ስለ እሱ,彼について
ها  ,Ha,ሀ,ha
بشأن  ,about,ስለ,約
أفعل  ,I do,አደርጋለሁ,そうです
أكون  ,I be,እኔ ነኝ,私はあること
اللعنة  ,the curse,እርግማኑ,呪い
للغاية  ,Extremely,በጣም,非常に
فيه  ,in it,በ ዉስጥ,初期化
بين  ,between,መካከል,の間に
أننا  ,We are,እኛ ነን,私たちです
منك  ,From you,ካንተ,あなたから
وهذا  ,and this is,እና ይህ ነው,そしてこれは
لكِ  ,for you,ለእርስዎ,あなたのために
جيدة  ,Good,ጥሩ,良い
مجرد  ,Just,በቃ,ただ
أظن  ,I suspect,እኔ እጠራጠራለሁ,私は疑わしい
انك  ,You,እንተ,君
مني  ,Muna,ሙን,御所
أنّ  ,that,ያ,それ
بالنسبة  ,about,ስለ,約
فكرة  ,idea,ሀሳብ,考え
أم  ,Mother,እናት,母親
متى  ,when,መቼ,いつ
الشيء  ,The thing,ነገሩ,事
المال  ,the money,ገንዘቡ,お金
كنا  ,We were,ነበርን,私たちはいました
أقول  ,I say,እላለሁ,私は言う
عمل  ,a job,ሥራ,仕事
أبداً  ,Start,ጀምር,始める
ستكون  ,it will be,ይሆናል,そうなる
عليّ  ,on me,በእኔ ላይ,私に
أيّ  ,Which,የትኛው,どれの
أمر  ,Command,ትእዛዝ,指示
تقول  ,Says,ይላል,ね
توقف  ,to stop,ለመቆም,止まる
هؤلاء  ,these,እነዚህ,これらは
السيد  ,Mr,ለ አቶ,氏
انظر  ,Look,ተመልከት,見て
لما  ,when,መቼ,いつ
منه  ,from him,ከእሱ,彼から
الطريق  ,The Road,መንገዱ,路線
أشعر  ,I feel,ይሰማኛል,私は感じます
حصلت  ,I got,ኣገኘሁ,私は手に入れました
الحياة  ,life,ሕይወት,生活
أني  ,that I,እኔ,そのI.
نفس  ,same,ተመሳሳይ,同じ
معه  ,With him,ከእሱ ጋር,彼と一緒に
بحاجة  ,Need,ፍላጎት,必要
بسبب  ,Because,ምክንያቱም,なぜなら
الذين  ,Whose,የማን,だれの
تستطيع  ,Could you,ትችላለህ,出来ますか
بأس  ,Bass,ባስ,ベース
اي  ,Which,የትኛው,どれの
بدون  ,without,ያለ,それなし
لكم  ,to you,ለ አንተ,あなたへ
تبدو  ,Looks like,መምሰል,のように見えます
أرى 58733,I see 58733,58733 አየሁ,私は58733を見ます
الجحيم  ,Hell,ሲኦል,地獄
تكن  ,You are,አንተ ነህ,あなたは
اعتقد  ,Think,አስብ,考え
عند  ,when,መቼ,いつ
آسفة  ,sorry,አዝናለሁ,ごめん
حيث  ,where,የት,どこ
دائماً  ,Always,ሁሌም,いつも
وأنت  ,And you,አንተስ,あなたも
تحت  ,under,ስር,下
حسنًا  ,OK,እሺ,わかった
تعال  ,Come here,እዚህ ይምጡ,ここに来て
بالفعل  ,actually,በእውነቱ,実際に
بل  ,but rather,ይልቅስ,むしろ
فضلك  ,Please,እባክህን,お願いします
الأشياء  ,The things,ነገሩ,物事
ليلة ,a night,አንድ ምሽት,夜
نفسك  ,yourself,ራስህ,あなた自身
لكي  ,in order to,ስለዚህ,そうするには
تعتقد  ,U think,ትመስላለህ,u
وهو  ,and he,እርሱም,そして彼
بحق  ,Rightly,በትክክል,正しく
مشكلة  ,Problem,ችግር,問題
شيئا  ,Nothing,መነም,何もない
أرجوك  ,I beg you,እለምንሃለሁ,お願いです
أذهب  ,Go,ሂድ,行け
يريد  ,Wants,ይፈልጋል,望む
تماماً  ,completely,ሙሉ በሙሉ,完全に
الـ  ,The,የ,the
الوحيد ,the only,ብቸኛው,唯一の
قتل ,killing,መግደል,殺し
إنهم ,that they,እነሱ እነሱ,それは彼らです
الشخص ,the person,ሰውየው,人
رأيت ,I saw,አይቻለው,私が見た
عزيزتي ,Darling,ዳርሊንግ,ダーリン
طوال ,throughout,በመላው,全体を通して
الشرطة ,the police,ፖሊስ,警察
الأن ,now,አሁን,今
أحب ,Loved,ተወዳጅ,愛された
الذى ,Which,የትኛው,どれの
أيضا ,also,ደግሞም,また
بنا ,coffee beans,ቡና ባቄላዎች,コーヒー豆
أردت ,I wanted,ፈልጌአለሁ,私は欲しかった
أكن ,I was,ነበርኩ,私は亡くなった
كلّ ,all,ሁሉም,全て
النار ,fire,እሳት,火
سمعت ,I heard,ሰማሁኝ,私は聞いた
اجل ,okay,እሺ,わかった
جميع ,all,ሁሉም,全て
أَنْ ,that,ያ,それ
قليلاً ,Little,ትንሽ,少し
مالذي ,Whatever,ምንአገባኝ,なんでもいい
بأنه ,That,ያ,それか
والآن ,And now,አና አሁን,そして今
إلي ,to me,ለኔ,私に
انتظر ,wait,ጠብቅ,待つ
فتاة ,girl,ልጃገረድ,女の子
كبير ,big,ትልቅ,大きい
يعرف ,Known,የታወቀ,known
او ,or,ወይም,また
فيها ,In which,የትኛው ውስጥ,その中で
حسنٌ ,Hassan,ሀሰን,ハッサン
الرجال ,Men,ወንዶች,男性
اريد ,I want,እፈልጋለሁ,私が欲しい
لأنه ,Because he,ምክንያቱም እሱ,なぜなら彼は
السبب ,Reason,ምክንያት,理由
سنوات ,Years,ዓመታት,years
الباب ,The Door,በሩ,ドア
نذهب ,We go,እንሄዳለን,私たちは行く
دون ,Without,ያለ,それなし
حياتي ,my life,የኔ ህይወት,私の人生
لابد ,You have to,አለብህ,必ず
السيارة ,The Car,መኪናው,車
تريدين ,You want,ትፈልጋለህ,あなたが望む
خارج ,Outside,ውጭ,外
ومن ,And from,እና ከ,そしてから
ثلاثة ,three,ሶስት,三つ
فعله ,He did,አደረገ,彼がやった
تذهب ,Go,ሂድ,行け
كانوا ,they were,እነሱ ነበሩ,彼らはいた
اذهب ,Go,ሂድ,行け
الحصول ,Obtain,ያግኙ,入手
يقول ,Says,ይላል,ね
الواقع ,Indeed,በእርግጥም,それはそう
كثيراً ,Much,ብዙ,多くの
اعرف ,I know,አውቃለሁ,知っている
أنهم ,that they,እነሱ እነሱ,それは彼らです
سبب ,a reason,አንድ ምክንያት,その理由
كبيرة ,big,ትልቅ,大きい
مما ,Than,ከ,よりも
أحتاج ,I need,ያስፈልገኛል,私は欲しい
قمت ,You,እንተ,君
إنّه ,that it,ያ ነው,そのこと
منها ,Of which,ይህም,そのうちの
كنتُ ,I was,ነበርኩ,私は亡くなった
للتو ,just yet,ገና,まだまだ
استطيع ,I can,እችላለሁ,私はできる
نوع ,Type,ዓይነት,タイプ
هنالك ,there,እዚያ,そこの
تعرفين ,You know,ታውቃለህ,ほら
جميلة ,beautiful,ቆንጆ,綺麗な
بكل ,All,ሁሉም,全て
دولار ,dollar,ዶላር,ドル
بأنك ,That you,አንተ,そのあなた
لأنني ,because I,ምክንያቱም እኔ,私は
الأفضل ,Best,ምርጥ,一番
دائما ,Always,ሁሌም,いつも
جديد ,new,አዲስ,新着
الامر ,Matter,ጉዳይ,案件
اين ,where,የት,どこ
بالضبط ,exactly,በትክክል,まさに
جون ,John,ጆን,ヨハネ
دعنا ,Let's,እስቲ,let
أنظر ,Look,ተመልከት,見て
المدينة ,City,ከተማ,市
الخاص ,private,የግል,民間
تعلمين ,You know,ታውቃለህ,ほら
جميل ,Nice,ጥሩ,良い
بسرعة ,Quickly,በፍጥነት,素早く
الأرض ,the earth,ምድር,地球
لحظة ,Moment,አፍታ,一瞬
الطريقة ,Way,መንገድ,仕方
طريقة ,method,ዘዴ,方法
رائعة ,amazing,አስገራሚ,すばらしい
سعيد ,Happy,ደስተኛ,幸せ
دقيقة ,Accurate,ትክክለኛ,正確
لكنه ,But he,ግን እሱ,でも彼は
غرفة ,room,ክፍል,部屋
إليه ,mechanism,ዘዴ,機構
التحدث ,Talk,ማውራት,トーク
ثانية ,second,ሁለተኛ,2番目
دعني ,Let me,ፍቀድልኝ,私にさせて
لكنني ,But I,እንጂ እኔ,しかし、私
الفتاة ,the girl,ልጅቷ,女の子
لمَ ,did not,አላደረገም,しなかった
ولم ,And did not,እና አላደረገም,そしてそうではなかった
أنتم ,you all,ሁላችሁም,あなたたち
عظيم ,great,በጣም ጥሩ,すごい
انهم ,that they,እነሱ እነሱ,それは彼らです
اوه ,Oh,ኦህ,ああ
جيداً ,well,ደህና,良い
